score,targets_reached,n_steps,payload_accel_w,payload_quat_w_0,payload_quat_w_1,payload_quat_w_2,payload_quat_w_3,drone_quat_w_0,drone_quat_w_1,drone_quat_w_2,drone_quat_w_3,payload_angvel_w,drone_angvel_w,cable_angles_w,N,velocity_ref,r_T,r_tau,W_Tf,T_f_initial
9979,2,12001,6,0.4725244812876352,0.01569682278596647,0.39485780684322647,0.0,0.06269483562792987,0.15064193993952948,0.2620084734279482,0.3538692307115113,0.0019987831729709055,0.18764135494169754,0.18451430532762492,16,0.09265931510967566,0.08281102592450315,0.264585791763059,0.04856077824052583,0.18576738358952002
9935,46,98,4,0.4881368826017574,0.05675766732828342,0.3420500425910203,0.34404635238969344,0.054896337089670386,0.4781628205499505,0.19743593942242235,0.0019513486423535225,0.008327882602481828,0.2860046799766009,0.2808712482076326,13,5.004477602559829,0.2841131346855471,0.23092889513269765,0.39025744313606364,1.7447182859548784
9724,257,12001,2,0.36380735429776095,0.04730959341503636,0.4347178455653188,0.3391660961517916,0.30383076405169906,0.12301460292823557,0.18141688401940595,0.26022709141255684,0.06405991457449914,0.2670117398080587,0.33800596008247796,20,9.140754591021963,0.26521759524169397,0.14650428238346358,0.17783761248573043,1.6800854546987183
9401,580,733,1,0.16986350079955137,0.4135167654702626,0.03012696993016261,0.4661413633280521,0.4883833099764403,0.35833803981308643,0.403286493227457,0.05041396377360378,0.14432161218570008,0.13382018231545714,0.06833438255667315,19,2.893532572382802,0.1841402921913136,0.2929476443296209,0.04632428894299701,1.35552714939194
9895,86,108,1,0.12199079226721413,0.4711427063849687,0.0,0.3315787394987253,0.4191957598697699,0.33873479092131703,0.4599956925098232,0.09438991828344884,0.20231107352004996,0.09642712000745805,0.0,17,0.7424536823358058,0.07071418336177855,0.34952575905154776,0.0,1.7080542992865784
9928,53,12001,1,0.06387285000795462,0.38782941743269006,0.18204574532418913,0.5,0.17428993766315018,0.19715921960959312,0.3853467131926916,0.025122107313520173,0.4364207159320941,0.028559827500872853,0.13461633281857044,19,4.500313848535503,0.25895436514713993,0.22163036357189642,0.08693673756675745,1.9643306186501408
9801,180,294,1,0.29167679985490724,0.22508788883875083,0.042471735248804404,0.1486466905357124,0.031548287394583464,0.3889914783413221,0.321694671992314,0.3772230948362226,0.2203938580240429,0.00512062138387394,0.49217380201682503,19,1.473310907654021,0.03539383172270588,0.08262160132218108,0.23297571443089546,1.4180909170301308
9401,580,928,1,0.157149630874462,0.12896707593240395,0.3246647866777328,0.47027196193841625,0.3884478788304147,0.4897996085635442,0.40341906297407976,0.3907766465180281,0.13998161911485743,0.21110598465458646,0.15511947985625174,17,5.974604878703947,0.11651105632907892,0.02049270093560249,0.2971243153233146,1.5294350368617837
9401,580,691,1,0.19957158298940822,0.2542172276183978,0.16164514548101755,0.32698620984727145,0.4818451250556191,0.2809618723336294,0.38101785600154403,0.39173387868238624,0.22722098938588312,0.30921049412845386,0.08983931870275483,15,8.042872342046348,0.15450070118095346,0.2544891627367725,0.480337781674487,1.6995617913844634
9844,137,12001,6,0.31220282804079386,0.4789520419120748,0.23622509625817614,0.21020286066354327,0.40996843072523736,0.2596322704533633,0.49799963878484244,0.3861413437569331,0.32343002784755753,0.20401400754813212,0.06249879767922036,14,4.0419071586585185,0.302691927995426,0.10913353081170282,0.2599496988108161,0.3735732476544008
9441,540,12001,1,0.15520114747153682,0.06418348431814973,0.17569912537376414,0.2548781647262424,0.5,0.4499273219533724,0.15971763124844954,0.4746431955799296,0.252029334224903,0.38737317120900516,0.20601069360396682,17,6.654810167737459,0.1427799694341556,0.2727541871833439,0.495918613612744,1.8546573156351007
9927,54,12001,1,0.2023786964054316,0.3860734067578772,0.03483182659048509,0.35320906276056235,0.5,0.4632730035747663,0.08949630846554514,0.49518929628306874,0.01133368538441844,0.14521379950053312,0.4455333364148051,16,7.037299210429068,0.13654547241313353,0.1900814023842452,0.09655316529713397,1.9260136284186564
