   arc_length_s    gamma_x(s)      gamma_y(s)      gamma_z(s)
6.550246e+02 2.890998e+01 4.123984e+01 1.942104e+02
6.574156e+02 2.738608e+01 4.117234e+01 1.960516e+02
6.595690e+02 2.584226e+01 4.104122e+01 1.975471e+02
6.615146e+02 2.428102e+01 4.084622e+01 1.986916e+02
6.632962e+02 2.270490e+01 4.058716e+01 1.994808e+02
6.649736e+02 2.111644e+01 4.026398e+01 1.999120e+02
6.666197e+02 1.951818e+01 3.987674e+01 1.999837e+02
6.683121e+02 1.791270e+01 3.942554e+01 1.996955e+02
6.701221e+02 1.630255e+01 3.891066e+01 1.990486e+02
6.721072e+02 1.469029e+01 3.833242e+01 1.980451e+02
6.743091e+02 1.307848e+01 3.769128e+01 1.966888e+02
6.767562e+02 1.146965e+01 3.698778e+01 1.949845e+02
6.794659e+02 9.866330e+00 3.622256e+01 1.929384e+02
6.824483e+02 8.271032e+00 3.539638e+01 1.905578e+02
6.857075e+02 6.686244e+00 3.451008e+01 1.878513e+02
6.892431e+02 5.114426e+00 3.356460e+01 1.848287e+02
6.930517e+02 3.558006e+00 3.256100e+01 1.815007e+02
6.971267e+02 2.019384e+00 3.150040e+01 1.778794e+02
7.014596e+02 5.009168e-01 3.038402e+01 1.739779e+02
7.060399e+02 -9.950784e-01 2.921318e+01 1.698101e+02
7.108556e+02 -2.466330e+00 2.798932e+01 1.653910e+02
7.158931e+02 -3.910614e+00 2.671390e+01 1.607366e+02
7.211376e+02 -5.325762e+00 2.538850e+01 1.558637e+02
7.265734e+02 -6.709656e+00 2.401482e+01 1.507897e+02
7.321836e+02 -8.060244e+00 2.259458e+01 1.455329e+02
7.379508e+02 -9.375530e+00 2.112960e+01 1.401122e+02
7.438564e+02 -1.065359e+01 1.962178e+01 1.345472e+02
7.498816e+02 -1.189255e+01 1.807310e+01 1.288578e+02
7.560067e+02 -1.309065e+01 1.648558e+01 1.230646e+02
7.622118e+02 -1.424615e+01 1.486135e+01 1.171883e+02
7.684765e+02 -1.535742e+01 1.320255e+01 1.112503e+02
7.747804e+02 -1.642291e+01 1.151143e+01 1.052717e+02
7.811026e+02 -1.744113e+01 9.790254e+00 9.927413e+01
7.874222e+02 -1.841070e+01 8.041370e+00 9.327919e+01
7.937185e+02 -1.933031e+01 6.267162e+00 8.730844e+01
7.999707e+02 -2.019874e+01 4.470060e+00 8.138337e+01
8.061584e+02 -2.101488e+01 2.652536e+00 7.552530e+01
8.122611e+02 -2.177766e+01 8.170988e-01 6.975531e+01
8.182591e+02 -2.248616e+01 -1.033705e+00 6.409416e+01
8.241329e+02 -2.313952e+01 -2.897300e+00 5.856224e+01
8.298638e+02 -2.373700e+01 -4.771086e+00 5.317946e+01
8.354334e+02 -2.427794e+01 -6.652440e+00 4.796517e+01
8.408244e+02 -2.476178e+01 -8.538722e+00 4.293815e+01
8.460203e+02 -2.518806e+01 -1.042727e+01 3.811650e+01
8.510053e+02 -2.555642e+01 -1.231543e+01 3.351756e+01
8.557652e+02 -2.586660e+01 -1.420052e+01 2.915788e+01
8.602868e+02 -2.611846e+01 -1.607987e+01 2.505316e+01
8.645582e+02 -2.631190e+01 -1.795081e+01 2.121816e+01
8.685694e+02 -2.644700e+01 -1.981068e+01 1.766670e+01
8.723125e+02 -2.652386e+01 -2.165682e+01 1.441155e+01
8.757815e+02 -2.654276e+01 -2.348658e+01 1.146442e+01
8.789735e+02 -2.650400e+01 -2.529736e+01 8.835925e+00
8.818894e+02 -2.640806e+01 -2.708656e+01 6.535522e+00
8.845344e+02 -2.625544e+01 -2.885162e+01 4.571491e+00
8.869202e+02 -2.604678e+01 -3.058996e+01 2.950899e+00
8.890666e+02 -2.578280e+01 -3.229912e+01 1.679579e+00
8.910049e+02 -2.546434e+01 -3.397660e+01 7.621064e-01
8.927806e+02 -2.509230e+01 -3.562000e+01 2.017832e-01
8.944549e+02 -2.466768e+01 -3.722696e+01 6.257143e-04
8.961014e+02 -2.419156e+01 -3.879510e+01 1.593580e-01
8.977977e+02 -2.366514e+01 -4.032220e+01 6.774089e-01
8.996141e+02 -2.308968e+01 -4.180602e+01 1.552914e+00
9.016065e+02 -2.246654e+01 -4.324440e+01 2.782722e+00
9.038152e+02 -2.179712e+01 -4.463528e+01 4.362407e+00
9.062668e+02 -2.108294e+01 -4.597660e+01 6.286285e+00
9.089779e+02 -2.032558e+01 -4.726642e+01 8.547430e+00
9.119572e+02 -1.952671e+01 -4.850288e+01 1.113771e+01
9.152080e+02 -1.868803e+01 -4.968416e+01 1.404779e+01
9.187290e+02 -1.781135e+01 -5.080854e+01 1.726721e+01
9.225158e+02 -1.689851e+01 -5.187436e+01 2.078438e+01
9.265612e+02 -1.595144e+01 -5.288010e+01 2.458664e+01
9.308560e+02 -1.497211e+01 -5.382428e+01 2.866030e+01
9.353890e+02 -1.396254e+01 -5.470550e+01 3.299071e+01
9.401476e+02 -1.292483e+01 -5.552248e+01 3.756229e+01
9.451175e+02 -1.186109e+01 -5.627404e+01 4.235857e+01
9.502837e+02 -1.077349e+01 -5.695906e+01 4.736230e+01
9.556298e+02 -9.664250e+00 -5.757654e+01 5.255546e+01
9.611386e+02 -8.535612e+00 -5.812558e+01 5.791938e+01
9.667921e+02 -7.389858e+00 -5.860540e+01 6.343474e+01
9.725716e+02 -6.229296e+00 -5.901526e+01 6.908169e+01
9.784579e+02 -5.056258e+00 -5.935456e+01 7.483992e+01
9.844312e+02 -3.873098e+00 -5.962282e+01 8.068870e+01
9.904713e+02 -2.682190e+00 -5.981966e+01 8.660698e+01
9.965578e+02 -1.485917e+00 -5.994476e+01 9.257346e+01
1.002670e+03 -2.866722e-01 -5.999794e+01 9.856666e+01
1.008787e+03 9.131460e-01 -5.997914e+01 1.045650e+02
